isolate,country,arcC,aroE,glpF,gmk,pta,tpi,yqiL,ST (MLST),clonal_complex (MLST)
ERR177157,UK,2,2,2,2,3,3,2,36,CC30
ERR182418,Unknown,6,64,44,2,43,55,51,93,CC93
ERR182441,Unknown,6,64,44,2,43,55,51,93,CC93
ERR182461,Unknown,6,64,44,2,43,55,51,93,CC93
ERR182467,Unknown,6,64,44,2,43,55,51,93,CC93
ERR182475,Unknown,6,64,44,2,43,55,51,93,CC93
ERR182490,Unknown,6,64,44,2,43,55,51,93,CC93
ERR182513,Unknown,6,64,44,2,43,55,51,93,CC93
ERR182525,Unknown,6,64,44,2,43,55,51,93,CC93
ERR182537,Unknown,151,187,20,101,145,150,131,1223,
ERR182539,Unknown,13,13,1,1,12,11,13,15,CC15
ERR182542,Unknown,151,483,215,34,175,180,169,3339,
ERR182548,Unknown,151,325,215,34,175,180,169,2250,
ERR190135,Unknown,2,3,1,1,4,4,3,239,CC8
ERR190136,Unknown,1,4,1,4,12,1,10,5,CC5
ERR190140,Unknown,2,3,1,1,4,4,3,239,CC8
ERR190141,Unknown,2,3,1,1,4,4,3,239,CC8
ERR190144,Unknown,1,4,1,4,12,1,10,5,CC5
ERR190145,Unknown,2,3,1,1,4,4,3,239,CC8
ERR190147,Unknown,2,3,1,1,4,4,3,239,CC8
ERR190152,Unknown,7,6,1,5,8,8,6,22,CC22
ERR190156,Unknown,2,3,1,1,4,4,3,239,CC8
ERR190158,Unknown,2,3,1,1,4,4,3,239,CC8
ERR190164,Unknown,2,3,1,1,4,4,3,239,CC8
ERR190165,Unknown,2,3,1,1,4,4,3,239,CC8
ERR190168,Unknown,2,3,1,1,4,4,3,239,CC8
ERR190169,Unknown,1,4,1,4,12,1,10,5,CC5
ERR190170,Unknown,2,3,1,1,4,4,3,239,CC8
ERR190174,Unknown,1,4,1,4,12,1,10,5,CC5
ERR190176,Unknown,1,4,1,4,12,1,10,5,CC5
ERR190177,Unknown,2,3,1,1,4,4,3,239,CC8
ERR190182,Unknown,1,4,1,4,12,1,10,5,CC5
ERR190183,Unknown,1,4,1,4,12,1,10,5,CC5
ERR190185,Unknown,2,3,1,1,4,4,3,239,CC8
ERR190186,Unknown,2,3,1,1,4,4,3,239,CC8
ERR190187,Unknown,2,3,1,1,4,4,3,239,CC8
ERR190193,Unknown,2,3,1,1,4,4,3,239,CC8
ERR190194,Unknown,2,3,1,1,4,4,3,239,CC8
ERR190199,Unknown,1,4,1,4,12,1,10,5,CC5
ERR190202,Unknown,2,3,1,1,4,4,3,239,CC8
ERR190205,Unknown,2,3,1,1,4,4,3,239,CC8
ERR190208,Unknown,2,3,1,1,4,4,3,239,CC8
ERR190212,Unknown,7,6,1,5,8,8,6,22,CC22
ERR190213,Unknown,1,4,1,4,12,1,10,5,CC5
ERR190215,Unknown,2,3,1,1,4,4,3,239,CC8
ERR190216,Unknown,2,3,1,1,4,4,3,239,CC8
ERR190217,Unknown,2,3,1,1,4,4,3,239,CC8
ERR190218,Unknown,2,3,1,1,4,4,3,239,CC8
ERR190221,Unknown,2,3,1,1,4,4,3,239,CC8
ERR190222,Unknown,2,3,1,1,4,4,3,239,CC8
ERR190224,Unknown,2,3,1,1,4,4,3,239,CC8
ERR190226,Unknown,2,3,1,1,4,4,3,239,CC8
ERR190228,Unknown,2,3,1,1,4,4,3,239,CC8
ERR192153,Unknown,6,64,44,2,43,55,51,93,CC93
ERR192154,Unknown,6,64,44,2,43,55,51,93,CC93
ERR192166,Unknown,6,64,44,2,43,55,51,93,CC93
ERR192175,Unknown,6,64,44,2,43,55,51,93,CC93
ERR192182,Unknown,6,64,44,2,43,55,51,93,CC93
ERR192187,Unknown,6,64,44,2,43,55,51,93,CC93
ERR192189,Unknown,6,64,44,2,43,55,51,93,CC93
ERR192190,Unknown,6,64,44,2,43,55,51,93,CC93
ERR192193,Unknown,6,64,44,2,43,55,51,93,CC93
ERR192194,Unknown,6,64,44,2,43,55,51,93,CC93
ERR192195,Unknown,6,64,44,2,43,55,51,93,CC93
ERR192197,Unknown,6,64,44,2,43,55,51,93,CC93
ERR192202,Unknown,6,64,44,2,43,55,51,93,CC93
ERR192208,Unknown,6,64,44,2,43,55,51,93,CC93
ERR192214,Unknown,6,64,44,2,43,55,51,93,CC93
ERR192218,Unknown,6,64,44,2,398,55,51,2979,CC93
ERR192220,Unknown,6,64,44,2,43,55,51,93,CC93
ERR192222,Unknown,6,64,44,2,43,55,51,93,CC93
ERR192231,Unknown,6,64,44,2,43,55,51,93,CC93
ERR192236,Unknown,6,64,44,2,43,55,51,93,CC93
ERR192237,Unknown,6,64,44,2,43,55,51,93,CC93
ERR192238,Unknown,6,64,44,2,43,55,51,93,CC93
ERR192241,Unknown,6,64,44,2,43,55,51,93,CC93
ERR211653,Unknown,6,57,45,2,7,58,52,130,
ERR211661,Unknown,182,57,45,2,348,58,52,3111,
ERR211675,Unknown,6,57,45,237,7,58,52,3108,
ERR211679,Unknown,8,33,323,2,10,50,5,2616,
ERR211681,Unknown,3,1,1,1,1,5,3,97,CC97
ERR211895,UK,2,2,2,2,3,3,2,36,CC30
ERR211902,Unknown,1,4,1,4,12,1,10,5,CC5
ERR212184,UK,3,3,1,1,4,4,16,250,CC8
ERR212186,UK,3,3,1,1,4,4,16,250,CC8
ERR212188,UK,3,3,1,1,4,4,16,250,CC8
ERR212189,UK,3,3,1,1,4,4,16,250,CC8
ERR212192,UK,3,3,1,1,4,4,16,250,CC8
ERR212194,Unknown,3,3,1,1,4,4,16,250,CC8
ERR212195,UK,3,3,1,1,4,4,16,250,CC8
ERR212196,Unknown,3,3,1,1,4,4,16,250,CC8
ERR212204,UK,3,3,1,1,4,4,16,250,CC8
ERR212206,UK,3,3,1,1,4,4,16,250,CC8
ERR212207,UK,3,3,1,1,4,4,16,250,CC8
ERR212218,Denmark,3,3,1,12,4,4,16,247,CC8
ERR212226,Unknown,3,3,1,12,4,4,16,247,CC8
ERR212233,Denmark,3,3,1,12,4,4,16,247,CC8
ERR212241,Denmark,3,3,1,12,4,4,16,247,CC8
ERR212242,Denmark,3,3,1,12,4,4,16,247,CC8
ERR212243,Unknown,3,3,1,1,4,4,16,250,CC8
ERR212254,Denmark,3,3,1,1,4,4,16,250,CC8
ERR212256,Denmark,3,3,1,1,4,4,16,250,CC8
ERR212261,Denmark,3,3,1,12,4,4,16,247,CC8
ERR212263,Denmark,3,3,1,1,4,4,16,250,CC8
ERR212265,Denmark,3,3,1,12,4,4,16,247,CC8
ERR212267,Denmark,3,3,1,12,4,4,16,247,CC8
ERR212767,Unknown,7,6,1,5,8,8,6,22,CC22
ERR212769,Unknown,7,6,1,5,8,8,6,22,CC22
ERR212770,Unknown,7,6,1,5,8,8,6,22,CC22
ERR212772,Unknown,7,6,1,5,8,8,6,22,CC22
ERR212773,Unknown,19,23,15,2,19,20,15,59,
ERR212973,Unknown,7,6,1,5,8,8,6,22,CC22
ERR212997,Unknown,7,6,1,5,8,8,6,22,CC22
ERR217312,Unknown,1,1,1,1,22,1,1,772,CC1
ERR217342,Unknown,1,1,1,1,22,1,1,772,CC1
ERR221717,Unknown,6,64,44,2,43,55,51,93,CC93
ERR221754,Unknown,6,64,44,2,43,55,51,93,CC93
ERR223137,UK,7,6,1,5,8,8,6,22,CC22
ERR223140,Ireland,7,6,1,5,8,8,6,22,CC22
ERR223161,UK,7,6,1,5,8,8,6,22,CC22
ERR223166,UK,7,6,1,5,8,8,6,22,CC22
ERR223171,Unknown,1,4,1,8,4,4,3,72,CC8
ERR223181,Unknown,1,4,1,4,12,1,10,5,CC5
ERR230259,USA,3,3,1,1,4,4,3,8,CC8
ERR230260,USA,3,3,1,1,4,4,3,8,CC8
ERR230263,USA,3,3,1,1,4,4,3,8,CC8
ERR230266,USA,3,3,1,1,4,4,3,8,CC8
ERR230304,USA,3,3,1,1,4,4,3,8,CC8
ERR230335,USA,3,3,1,1,4,4,3,8,CC8
ERR230340,USA,3,3,1,1,4,4,3,8,CC8
ERR230476,Unknown,7,6,1,5,8,8,6,22,CC22
ERR234700,Unknown,3,1,1,1,1,5,3,97,CC97
ERR234701,Unknown,3,1,1,1,1,5,3,97,CC97
ERR234708,Unknown,3,1,1,1,1,5,3,97,CC97
ERR234716,Unknown,3,1,1,1,1,5,3,97,CC97
ERR234724,Unknown,3,1,1,1,1,5,3,97,CC97
ERR234732,Unknown,6,66,46,2,7,50,18,133,
ERR234748,Unknown,18,1,1,1,1,5,381,3127,CC97
ERR234756,Unknown,18,1,1,1,1,5,381,3127,CC97
ERR234772,Unknown,3,1,1,1,1,5,3,97,CC97
ERR234780,Unknown,3,3,1,1,4,4,3,8,CC8
ERR234797,Unknown,18,33,6,20,7,50,48,425,
ERR234800,Unknown,6,57,45,2,7,58,52,130,
ERR234801,UK,7,6,1,5,8,8,6,22,CC22
ERR234803,Unknown,6,57,45,2,351,58,52,3114,
ERR234805,Unknown,6,57,45,2,7,58,52,130,
ERR234807,UK,7,6,1,5,8,8,6,22,CC22
ERR234808,Unknown,1,1,1,1,22,1,1,772,CC1
ERR234809,UK,7,6,1,5,8,8,6,22,CC22
ERR234811,Unknown,7,6,1,5,8,8,6,22,CC22
ERR234813,Unknown,6,57,45,2,7,58,52,130,
ERR234815,UK,7,6,1,5,8,8,6,22,CC22
ERR234816,Unknown,1,4,1,4,12,1,384,3130,CC5
ERR234817,Unknown,3,35,19,2,20,26,39,398,
ERR234822,Unknown,1,4,1,4,12,1,10,5,CC5
ERR234823,UK,7,6,1,5,8,8,6,22,CC22
ERR234824,Unknown,1,4,1,4,12,1,10,5,CC5
ERR234825,Unknown,3,35,19,2,20,26,39,398,
ERR234829,Unknown,18,33,6,20,7,50,48,425,
ERR234832,UK,7,6,1,5,8,8,6,22,CC22
ERR234833,Unknown,3,35,19,2,20,26,39,398,
ERR234834,Unknown,18,33,6,20,7,50,48,425,
ERR234837,Unknown,3,1,1,1,1,5,3,97,CC97
ERR234840,UK,7,6,1,5,8,8,6,22,CC22
ERR234841,Unknown,1,1,372,1,1,1,1,3103,CC1
ERR234842,Unknown,13,13,1,1,12,11,13,15,CC15
ERR234845,UK,7,6,1,5,8,8,6,22,CC22
ERR234846,Unknown,4,1,4,1,5,5,4,25,
ERR234847,UK,7,6,1,5,8,8,6,22,CC22
ERR234849,Unknown,1,1,372,1,1,1,1,3103,CC1
ERR234850,Unknown,1,4,1,4,12,1,10,5,CC5
ERR234851,Unknown,1,1,1,1,1,1,1,1,CC1
ERR234853,UK,7,6,1,5,8,8,6,22,CC22
ERR234854,Unknown,4,1,4,1,353,5,4,3116,
ERR234855,Unknown,4,1,4,1,5,5,4,25,
ERR234859,Unknown,10,14,8,6,10,3,2,45,CC45
ERR234861,UK,7,6,218,5,8,8,6,3136,CC22
ERR234862,UK,7,6,1,5,8,8,6,22,CC22
ERR234863,Unknown,3,1,1,1,1,5,3,97,CC97
ERR234869,UK,7,6,1,5,8,8,6,22,CC22
ERR234871,UK,7,6,1,5,8,8,6,22,CC22
ERR234876,Unknown,18,33,6,20,7,50,48,425,
ERR234878,Unknown,377,3,1,1,4,4,3,3341,CC8
ERR234879,Unknown,1,4,1,4,12,1,10,5,CC5
ERR234880,UK,7,6,1,5,8,8,6,22,CC22
ERR234884,Unknown,7,6,1,5,8,8,6,22,CC22
ERR234885,UK,7,6,1,5,8,8,6,22,CC22
ERR234887,UK,7,6,1,5,8,8,6,22,CC22
ERR234888,Unknown,13,13,1,1,12,11,13,15,CC15
ERR234890,Unknown,6,57,45,2,7,58,52,130,
ERR234894,USA,3,3,1,1,4,4,3,8,CC8
ERR234896,USA,3,3,1,1,4,4,3,8,CC8
ERR234897,USA,3,3,1,149,4,4,3,1540,CC8
ERR234898,USA,3,3,1,1,4,4,3,8,CC8
ERR234899,Unknown,3,3,1,251,4,4,3,3343,CC8
ERR234901,USA,3,3,1,1,4,4,3,8,CC8
ERR234904,USA,3,3,1,1,4,372,3,3344,CC8
ERR234906,USA,3,3,1,1,4,4,3,8,CC8
ERR234907,USA,3,3,1,1,4,4,3,8,CC8
ERR234908,USA,3,3,1,1,4,4,3,8,CC8
ERR234909,USA,3,3,450,1,4,4,3,3345,CC8
ERR234910,USA,3,3,1,1,4,4,3,8,CC8
ERR234911,USA,3,3,1,1,4,4,3,8,CC8
ERR234913,USA,3,3,1,1,4,4,3,8,CC8
ERR234914,USA,3,3,1,1,4,4,3,8,CC8
ERR234915,USA,3,3,1,1,4,4,3,8,CC8
ERR234916,USA,3,3,1,1,4,4,3,8,CC8
ERR234917,USA,3,3,1,1,4,4,3,8,CC8
ERR234918,USA,3,3,444,1,4,4,3,3346,CC8
ERR234920,USA,3,3,1,1,4,4,3,8,CC8
ERR234925,USA,3,3,1,1,4,4,3,8,CC8
ERR234926,USA,3,3,1,1,4,4,3,8,CC8
ERR234927,USA,3,3,1,1,4,4,3,8,CC8
ERR234928,USA,3,3,1,1,4,4,3,8,CC8
ERR234931,USA,3,3,1,1,4,4,3,8,CC8
ERR234932,USA,3,3,1,1,4,4,3,8,CC8
ERR234934,USA,3,3,1,1,4,4,3,8,CC8
ERR234935,USA,3,3,1,1,4,4,3,8,CC8
ERR234937,USA,3,3,1,1,4,4,3,8,CC8
ERR234939,USA,3,496,1,1,4,4,3,3347,CC8
ERR234940,USA,3,3,1,1,4,4,3,8,CC8
ERR234941,USA,3,3,1,1,4,4,3,8,CC8
ERR234943,USA,3,3,1,1,4,4,3,8,CC8
ERR234944,USA,3,3,1,1,4,4,3,8,CC8
ERR234945,USA,3,3,1,1,4,4,3,8,CC8
ERR234946,USA,3,3,1,1,4,4,3,8,CC8
ERR234947,USA,3,3,1,1,4,4,3,8,CC8
ERR234948,USA,3,3,1,1,4,4,3,8,CC8
ERR234949,USA,3,3,1,1,4,4,3,8,CC8
ERR234950,USA,3,3,1,1,4,4,3,8,CC8
ERR234951,USA,3,3,1,1,4,4,3,8,CC8
ERR234952,USA,3,3,1,1,4,4,3,8,CC8
ERR234954,USA,3,3,1,1,4,4,3,8,CC8
ERR234956,USA,3,3,1,1,4,4,3,8,CC8
ERR234957,USA,3,3,1,1,4,4,3,8,CC8
ERR234962,USA,3,3,1,1,4,4,3,8,CC8
ERR234965,USA,3,3,1,1,4,4,3,8,CC8
ERR234967,USA,3,3,1,1,4,4,3,8,CC8
ERR234968,USA,3,3,1,1,4,4,3,8,CC8
ERR234969,USA,3,3,1,1,4,4,3,8,CC8
ERR234971,USA,3,3,1,1,4,4,3,8,CC8
ERR234972,USA,3,3,1,1,4,4,3,8,CC8
ERR234975,USA,3,3,1,1,4,4,3,8,CC8
ERR234976,USA,3,3,1,1,4,4,3,8,CC8
ERR234977,USA,3,3,1,1,4,4,3,8,CC8
ERR234978,USA,3,3,1,1,4,4,3,8,CC8
ERR234985,USA,3,3,1,1,4,4,3,8,CC8
ERR234988,USA,3,3,1,1,4,4,3,8,CC8
ERR234991,USA,3,3,1,1,4,4,3,8,CC8
ERR234992,USA,3,3,1,1,4,4,3,8,CC8
ERR234993,USA,3,3,1,1,4,4,3,8,CC8
ERR234994,USA,3,3,1,1,4,4,3,8,CC8
ERR234995,USA,3,3,1,1,4,4,3,8,CC8
ERR234996,USA,3,3,1,1,4,4,3,8,CC8
ERR234997,USA,3,3,1,1,4,4,3,8,CC8
ERR234998,USA,3,3,1,1,4,4,3,8,CC8
ERR234999,USA,3,3,1,1,4,4,3,8,CC8
ERR235000,USA,3,3,1,1,4,4,3,8,CC8
ERR235001,USA,3,3,1,1,4,4,3,8,CC8
ERR235003,Unknown,3,3,1,1,4,4,3,8,CC8
ERR235004,USA,3,3,1,1,4,4,3,8,CC8
ERR235005,USA,3,3,1,1,4,4,3,8,CC8
ERR235006,USA,3,3,1,1,4,4,3,8,CC8
ERR235007,USA,3,3,1,1,4,4,3,8,CC8
ERR235008,USA,3,3,1,1,4,4,3,8,CC8
ERR235009,USA,3,3,1,1,4,4,3,8,CC8
ERR235010,USA,3,3,1,1,4,4,3,8,CC8
ERR235011,USA,3,3,1,1,4,4,3,8,CC8
ERR235012,USA,3,3,1,1,4,4,3,8,CC8
ERR235013,USA,3,3,1,1,4,4,3,8,CC8
ERR235015,USA,3,3,1,1,4,4,3,8,CC8
ERR235016,USA,3,3,1,1,4,4,3,8,CC8
ERR235017,USA,3,3,1,1,4,4,3,8,CC8
ERR235018,USA,3,3,1,1,4,4,3,8,CC8
ERR235019,USA,3,3,1,1,4,4,3,8,CC8
ERR235020,Unknown,3,3,1,1,4,4,3,8,CC8
ERR235021,USA,3,3,1,1,4,4,3,8,CC8
ERR235022,USA,3,3,1,1,4,4,3,8,CC8
ERR235023,USA,3,3,1,1,4,4,3,8,CC8
ERR235024,USA,3,3,1,1,4,4,3,8,CC8
ERR235025,USA,3,3,1,1,4,4,3,8,CC8
ERR235028,USA,3,3,1,1,4,4,3,8,CC8
ERR235031,USA,3,3,1,1,4,4,3,8,CC8
ERR235032,USA,3,3,1,1,4,4,3,8,CC8
ERR235033,Unknown,3,3,1,1,4,4,3,8,CC8
ERR235034,USA,3,3,1,1,4,4,3,8,CC8
ERR235035,USA,3,3,1,1,4,4,3,8,CC8
ERR235036,USA,3,497,1,1,4,4,3,3348,CC8
ERR235040,USA,3,3,1,1,4,4,3,8,CC8
ERR235043,USA,3,3,1,1,4,4,3,8,CC8
ERR235046,USA,3,3,1,1,4,4,3,8,CC8
ERR235047,USA,3,3,1,1,4,4,3,8,CC8
ERR235049,USA,3,3,1,1,4,4,3,8,CC8
ERR235050,USA,3,3,1,1,4,4,3,8,CC8
ERR235051,USA,3,3,1,1,4,4,3,8,CC8
ERR235055,USA,3,3,1,1,4,4,3,8,CC8
ERR235056,USA,3,3,1,1,4,4,3,8,CC8
ERR235057,USA,3,3,1,1,4,4,3,8,CC8
ERR235059,USA,3,3,1,1,4,4,3,8,CC8
ERR235060,USA,3,3,1,1,4,4,3,8,CC8
ERR235061,USA,3,3,1,1,4,4,3,8,CC8
ERR235062,USA,3,3,1,1,4,4,3,8,CC8
ERR237553,Unknown,3,35,19,2,20,26,39,398,
ERR237554,Unknown,3,35,19,2,20,26,39,398,
ERR237555,Unknown,3,35,19,2,20,26,39,398,
ERR237556,Unknown,3,35,19,2,20,26,39,398,
ERR237557,Unknown,3,35,19,2,20,26,39,398,
ERR237559,Unknown,3,35,19,2,20,26,39,398,
ERR237560,Unknown,3,35,19,2,20,26,39,398,
ERR237561,Unknown,3,35,19,2,20,26,39,398,
ERR237562,Unknown,3,35,19,2,20,26,39,398,
ERR237563,Unknown,3,450,19,2,20,26,39,3096,
ERR237564,Unknown,3,35,19,2,20,26,39,398,
ERR237565,Unknown,3,35,19,2,20,26,39,398,
ERR237567,Unknown,3,35,19,2,20,26,39,398,
ERR237568,Unknown,3,35,19,2,20,26,39,398,
ERR237569,Unknown,3,35,19,2,20,26,39,398,
ERR237570,Unknown,3,35,19,2,20,26,39,398,
ERR237571,Unknown,3,35,19,2,20,26,39,398,
ERR237572,Unknown,3,35,19,2,20,26,39,398,
ERR237573,Unknown,3,35,19,2,20,26,39,398,
ERR237574,Unknown,3,35,167,2,20,26,39,1232,
ERR237575,Unknown,3,3,1,1,1,1,10,9,CC1
ERR237576,Unknown,3,35,19,2,20,26,39,398,
ERR237577,Unknown,3,35,19,2,20,26,39,398,
ERR237578,Unknown,3,35,19,2,20,26,39,398,
ERR237579,Unknown,3,35,19,2,20,26,39,398,
ERR237580,Unknown,3,35,19,2,20,26,39,398,
ERR237582,Unknown,3,35,19,2,20,26,39,398,
ERR237583,Unknown,3,35,19,2,20,26,39,398,
ERR237584,Unknown,3,35,19,2,20,26,39,398,
ERR237585,Unknown,3,35,19,2,20,26,39,398,
ERR237586,Unknown,3,35,167,2,20,26,39,1232,
ERR237587,Unknown,3,35,19,2,20,26,39,398,
ERR237588,Unknown,3,450,19,2,20,26,39,3096,
ERR237589,Unknown,3,35,167,2,20,26,39,1232,
ERR237590,Unknown,3,35,19,2,20,26,39,398,
ERR237591,Unknown,3,35,19,2,20,26,39,398,
ERR237592,Unknown,3,35,19,2,20,26,39,398,
ERR237593,Unknown,3,35,19,2,20,26,39,398,
ERR237594,Unknown,3,35,19,2,20,26,39,398,
ERR237595,Unknown,3,35,167,2,20,26,39,1232,
ERR237596,Unknown,3,35,19,2,20,26,39,398,
ERR237597,Unknown,6,193,45,2,7,58,52,1245,
ERR237598,Unknown,6,57,45,2,7,58,52,130,
ERR237599,Unknown,6,57,45,2,215,58,52,1945,
ERR237600,Unknown,6,57,45,2,352,58,52,3115,
ERR237601,Unknown,6,57,45,2,7,58,52,130,
ERR237602,Unknown,6,57,45,2,7,58,52,130,
ERR237611,Unknown,1,1,1,1,1,1,1,1,CC1
ERR237612,Unknown,6,66,46,2,7,50,18,133,
ERR237613,Unknown,8,2,2,2,6,3,2,34,CC30
ERR237614,Unknown,3,3,1,1,4,4,3,8,CC8
ERR237615,Unknown,6,66,46,2,7,50,18,133,
ERR237616,Unknown,8,2,2,2,6,3,2,34,CC30
ERR237617,Unknown,2,2,2,2,3,3,2,36,CC30
ERR237618,Unknown,2,2,2,2,3,3,2,36,CC30
ERR237619,UK,7,6,1,5,8,8,6,22,CC22
ERR237620,Unknown,18,140,45,2,7,14,7,816,
ERR237621,UK,7,6,1,5,8,8,6,22,CC22
ERR237623,Unknown,1,1,1,1,1,1,1,1,CC1
ERR237624,UK,7,6,1,5,8,8,6,22,CC22
ERR237625,UK,7,6,1,5,350,8,6,3113,CC22
ERR237626,UK,7,6,1,5,8,8,6,22,CC22
ERR237627,UK,7,6,1,5,8,8,6,22,CC22
ERR237628,Unknown,1,1,1,1,1,1,1,1,CC1
ERR237629,Unknown,18,153,260,18,7,223,5,1943,
ERR237631,UK,7,6,1,5,8,8,6,22,CC22
ERR237632,Unknown,6,57,45,2,7,58,52,130,
ERR237633,UK,7,6,1,5,8,8,6,22,CC22
ERR237634,UK,7,6,1,5,8,8,6,22,CC22
ERR237635,UK,7,6,1,5,8,8,6,22,CC22
ERR237636,Unknown,6,57,45,2,7,58,52,130,
ERR237637,Unknown,6,57,45,2,7,58,52,130,
ERR237638,Unknown,6,57,45,2,7,58,52,130,
ERR237640,USA,3,3,1,1,4,4,3,8,CC8
ERR237641,USA,3,3,1,1,4,4,3,8,CC8
ERR237642,USA,3,3,1,1,4,4,3,8,CC8
ERR237643,USA,3,3,1,1,4,4,3,8,CC8
ERR237644,USA,3,3,1,1,4,4,3,8,CC8
ERR237646,USA,3,3,1,1,4,4,3,8,CC8
ERR237647,USA,3,3,1,1,4,4,3,8,CC8
ERR237648,USA,3,3,1,1,4,4,3,8,CC8
ERR237649,Unknown,376,3,1,1,4,4,3,3349,CC8
ERR237650,USA,3,3,1,1,4,4,3,8,CC8
ERR237651,USA,3,3,1,1,4,4,3,8,CC8
ERR237652,USA,3,3,1,1,4,4,3,8,CC8
ERR237653,USA,3,3,1,1,4,4,3,8,CC8
ERR237654,USA,3,3,1,1,4,4,3,8,CC8
ERR237656,USA,3,3,1,1,4,4,3,8,CC8
ERR237659,USA,3,3,1,1,4,4,3,8,CC8
ERR237660,USA,3,3,1,1,4,4,3,8,CC8
ERR237661,USA,3,3,1,1,4,4,3,8,CC8
ERR237662,USA,3,3,1,1,4,4,3,8,CC8
ERR237663,USA,3,3,1,1,4,4,3,8,CC8
ERR237665,USA,3,3,1,1,4,4,3,8,CC8
ERR237666,USA,3,3,1,1,4,4,3,8,CC8
ERR237667,USA,3,3,1,1,4,4,3,8,CC8
ERR237668,USA,3,3,1,1,4,4,3,8,CC8
ERR237669,USA,3,3,1,1,4,4,3,8,CC8
ERR237670,USA,3,3,1,1,4,4,3,8,CC8
ERR237671,USA,3,3,1,1,4,4,3,8,CC8
ERR237674,USA,3,3,1,1,4,4,3,8,CC8
ERR237675,USA,3,3,1,1,4,4,3,8,CC8
ERR237676,USA,3,3,488,1,4,4,3,3350,CC8
ERR237677,USA,3,3,1,1,4,4,3,8,CC8
ERR237678,USA,3,3,1,1,4,4,3,8,CC8
ERR237679,Unknown,3,3,1,1,4,4,3,8,CC8
ERR237680,USA,3,3,1,1,4,4,3,8,CC8
ERR237681,USA,3,3,1,1,4,4,3,8,CC8
ERR237682,USA,3,3,1,1,4,4,3,8,CC8
ERR237683,USA,3,3,1,1,4,4,3,8,CC8
ERR237685,USA,3,3,1,1,4,4,3,8,CC8
ERR237686,USA,3,3,1,1,4,4,3,8,CC8
ERR237687,Unknown,3,3,1,1,4,4,3,8,CC8
ERR237688,USA,3,3,1,1,4,4,3,8,CC8
ERR237689,USA,3,3,1,1,4,4,3,8,CC8
ERR237690,USA,3,3,1,1,4,4,3,8,CC8
ERR237691,USA,3,3,1,1,4,4,3,8,CC8
ERR237692,USA,3,3,1,1,4,4,3,8,CC8
ERR237693,USA,3,3,1,1,4,4,3,8,CC8
ERR237694,Unknown,3,3,1,1,4,4,3,8,CC8
ERR237695,USA,3,3,1,1,4,4,3,8,CC8
ERR237696,USA,3,3,1,1,4,4,3,8,CC8
ERR237697,Unknown,3,3,1,1,4,4,3,8,CC8
ERR237698,USA,3,3,1,1,4,4,3,8,CC8
ERR237700,USA,3,3,1,1,4,4,3,8,CC8
ERR237701,USA,3,3,1,1,4,4,3,8,CC8
ERR237704,USA,3,3,1,1,4,4,3,8,CC8
ERR237705,USA,3,3,1,1,4,4,3,8,CC8
ERR237706,USA,3,3,1,1,4,4,3,8,CC8
ERR237707,USA,3,3,1,1,4,4,3,8,CC8
ERR237708,USA,3,3,1,1,4,4,3,8,CC8
ERR237709,USA,3,3,1,1,4,4,3,8,CC8
ERR237710,USA,3,3,1,149,4,4,3,1540,CC8
ERR237711,USA,3,3,1,1,4,4,3,8,CC8
ERR237715,USA,3,3,1,1,4,4,3,8,CC8
ERR237719,USA,3,3,1,1,4,4,3,8,CC8
ERR237720,USA,3,3,1,1,4,4,3,8,CC8
ERR237722,USA,3,3,1,1,4,4,3,8,CC8
ERR237723,USA,3,3,1,1,4,4,3,8,CC8
ERR237724,USA,3,3,1,1,4,4,3,8,CC8
ERR237725,USA,3,3,1,1,4,4,3,8,CC8
ERR237726,USA,3,3,1,1,4,4,3,8,CC8
ERR237727,USA,3,3,1,1,4,4,3,8,CC8
ERR237728,USA,3,3,1,1,4,4,3,8,CC8
ERR237729,USA,3,3,1,1,4,4,3,8,CC8
ERR237730,USA,3,3,1,1,4,4,3,8,CC8
ERR237731,USA,3,3,1,1,4,4,3,8,CC8
ERR237732,USA,3,3,1,1,4,4,3,8,CC8
ERR237733,Unknown,3,3,1,1,4,4,3,8,CC8
ERR246585,Unknown,6,57,45,2,7,58,52,130,
ERR246586,Unknown,3,35,19,2,20,26,39,398,
ERR246587,Unknown,6,229,45,2,7,58,52,1526,
ERR246591,Unknown,18,33,6,20,7,50,48,425,
ERR246592,Unknown,18,33,6,20,7,50,48,425,
ERR246593,UK,18,33,6,20,7,50,48,425,
ERR246595,UK,6,72,12,43,49,67,59,151,
ERR246596,UK,6,57,45,2,7,58,52,130,
ERR246599,UK,18,1,1,1,1,5,3,71,CC97
ERR246600,UK,18,1,1,1,1,5,3,71,CC97
ERR246603,UK,18,1,1,1,1,5,3,71,CC97
ERR246604,UK,3,1,1,1,1,5,3,97,CC97
ERR246606,UK,6,66,46,2,7,50,18,133,
ERR246608,UK,6,66,46,2,7,50,18,133,
ERR246609,UK,3,1,1,1,1,5,3,97,CC97
ERR246610,UK,3,1,1,1,1,5,3,97,CC97
ERR246611,UK,6,72,12,43,49,67,59,151,
ERR246613,Unknown,18,33,6,20,7,50,48,425,
ERR246614,UK,3,35,19,2,20,26,39,398,
ERR246615,UK,6,72,12,43,49,67,59,151,
ERR246616,UK,12,4,1,4,12,1,3,6,CC5
ERR246617,UK,18,33,6,20,7,50,48,425,
